drug_name,Total Articles,Positive Studies (%),Negative Studies (%),High Quality Evidence (%),Primary Safety Concern,Recent Publications (2yr),Literature Assessment,avg_rating,all_side_effects,overall_sentiment
A/T/S,194,0,0,8.8,,70,Concerning,4.0,stomach pain,positive
ABILIFY,36,0,2.8,5.6,,12,Concerning,1.82,bradycardia | fatigue | headache | heart attack | insomnia | neuropathy | weight gain,negative
ABRAXANE,177,16.4,7.3,2.3,,62,Concerning,,,
ABREVA,1,0,0,0,,0,Concerning,3.67,,positive
ABRYSVO,66,15.2,7.6,3,,59,Concerning,3.67,,neutral
ABSORICA,1,0,0,0,,0,Concerning,3.0,,positive
ACAM2000 VACCINE,8,12.5,25,0,,3,Concerning,3.0,,negative
ACCOLATE,1,0,0,0,,0,Concerning,3.43,rash | weight gain,negative
ACCUTANE,23,13,0,4.3,,6,Concerning,2.56,fatigue | headache | neuropathy | rash | vomiting | weight loss,negative
ACEBUTOLOL HCL,2,0,0,0,,0,Concerning,,,
ACEON,2,0,0,0,,0,Concerning,2.6,insomnia | weight gain,negative
ACETAMINOPHEN,168,19,38.7,13.7,Allergic,46,Concerning,2.7,fatigue,positive
ACETAMINOPHEN AND CODEINE PHOSPHATE,171,0,0,29.8,,47,Mixed-Neutral,3.0,,neutral
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,122,0,0,16.4,,38,Concerning,4.0,insomnia | nausea,negative
ACETAMINOPHEN W/ CODEINE,4,0,0,25,,2,Mixed-Neutral,5.0,,positive
ACETAMINOPHEN W/ CODEINE NO. 3,2,0,0,50,,1,Mixed-Neutral,3.0,headache,positive
"""ACETAMINOPHEN",188,0,0,26.1,,39,Mixed-Neutral,,,
"ASPIRIN AND CAFFEINE""",7,0,0,0,,3,Concerning,,,
ACETAZOLAMIDE,169,30.8,10.7,26.6,Cardiovascular,58,Mixed-Neutral,3.0,fatigue | neuropathy | vomiting,positive
ACETYLCYSTEINE,171,23.4,12.3,21.1,Hepatotoxicity,69,Concerning,4.0,diarrhea | headache | nausea,positive
ACIPHEX,1,0,0,0,,0,Concerning,2.79,diarrhea | headache | insomnia | nausea | stomach pain | tachycardia,negative
ACTEMRA,41,14.6,7.3,22,Cardiovascular,10,Concerning,2.93,dizziness | fatigue | headache | nausea | neuropathy | rash | stomach pain | weight gain,negative
ACTIGALL,1,0,0,0,,0,Concerning,4.0,fatigue,positive
