drug_name,most_positive_comment,most_negative_comment,,
A/T/S,positive side lost a good 5 pounds,positive side lost a good 5 pounds,,
ABILIFY,"Had to take procyclidine to get my legs working again! I stopped being able to walk after the injection. I still can't cry normally, my tear ducts don't produce tears. I panic and shake in some situations like car rides.","I hate this pill, my emotions are mostly gone except anger. I never should have been prescribed this medication",,
ABILIFY MAINTENA KIT,"I have nothing but positive things to say about Abilify maintena , appears to be weight neutral, diminished my voices, I am able to live a normal life with this med .","Living hell, pacing and crying, very difficult to quit.",,
ABIRATERONE,"Ron... Taken for 5 to 10 years September 2, 2018 Abiraterone for Prostate Cancer ""I've been on Zytiga for 5 years now. It's working great for me."" 10 / 10 Was this helpful? Yes No 67 Report","ant... November 15, 2017 Abiraterone for Prostate Cancer ""Effectiveness lasted 8 months, side effects, unpleasant."" 4 / 10 Was this helpful? Yes No 30 Report",,
ABREVA,Amazing cream. Applied five times daily. Immediately noticed regression of sore.,"Worked AMAZINGLY! Cold sore gone in three days. You have to apply it up to five times a day, and that is what I did. This stuff is a miracle.",,
ABRYSVO,2 shots,2 shots,,
ABSORICA,This really helped my skin - the other poster seems to be confused - isotretinoin is not a cancer /chemo drug . Perhaps getting it confused with another with a similar name or tretinoin? Has been 8 weeks after the 6 month therapy and still great skin. note that first few months only took 30 mg per day . Make sure you take these with a fatty meal/food -- peanutbutter works.,"Sorry to sound cynical but it's true, I know at least 3 friends who are also in a similar situation like me because of this poison and they had no idea it was the drug that caused this to them because THE REAL NIGHTMARE ALL STARTS AFTER YOU QUIT THE F**KING DRUG",,
ACAM2000 VACCINE,"I had terrible leg pain a few days after after the first shot. However, about a month later I had a herniated disc, so the leg pain might have been caused by the herniated disc and not the shot.","I had terrible leg pain a few days after after the first shot. However, about a month later I had a herniated disc, so the leg pain might have been caused by the herniated disc and not the shot.",,
ACANYA,"Basically, the drug is wonderful. I kept breaking out from a staph infection that wouldn't go away. When my skin finally healed, my doc told me to apply this every morning (I do night instead)to prevent this from happening again and my skin looks much better. Even though it worked instantly for me, I'd be patient and give it a few months.","Basically, the drug is wonderful. I kept breaking out from a staph infection that wouldn't go away. When my skin finally healed, my doc told me to apply this every morning (I do night instead)to prevent this from happening again and my skin looks much better. Even though it worked instantly for me, I'd be patient and give it a few months.",,
ACCOLATE,I think I tolerate it ok but it doesn't work fully.,I use it to prevent an asthma attack and so far it is working. Been taking it for about two years.,,
